report_month,payer,specialty,state,total_claims,approved_claims,denied_claims,billed_amount,allowed_amount,paid_amount,approval_rate,denial_rate,paid_to_allowed_ratio
2024-01-01,Medicaid,Radiology,TX,7,4,1,9879.02,5279.96,3960.3199999999997,0.5714285714285714,0.14285714285714285,0.7500662883809726
2024-01-01,Medicare,Cardiology,AZ,2,2,0,1907.36,908.54,781.72,1.0,0.0,0.8604134105267793
2024-01-01,Medicare,Cardiology,FL,3,1,0,3518.7200000000003,1718.3899999999999,1484.21,0.3333333333333333,0.0,0.8637212739832053
2024-01-01,Medicare,Cardiology,GA,3,1,1,3448.04,1699.33,742.6800000000001,0.3333333333333333,0.3333333333333333,0.43704283452890264
2024-01-01,Medicare,Cardiology,NC,7,5,0,5620.15,6268.67,5243.37,0.7142857142857143,0.0,0.8364405846854277
2024-01-01,Medicare,Cardiology,TX,4,2,2,5724.88,2828.15,1576.61,0.5,0.5,0.5574704312006081
2024-01-01,Medicare,Orthopedics,FL,1,0,0,487.52,586.64,441.2,0.0,0.0,0.7520796399836356
2024-01-01,Medicare,Orthopedics,GA,1,0,1,1039.61,434.39,0.0,0.0,1.0,0.0
2024-01-01,Medicare,Orthopedics,NC,3,3,0,3826.26,2031.4099999999999,1785.18,1.0,0.0,0.8787886246498738
2024-01-01,Medicare,Orthopedics,TX,11,10,1,14384.54,7835.41,6500.94,0.9090909090909091,0.09090909090909091,0.8296872786491071
2024-01-01,Medicare,Primary Care,AZ,20,17,3,29490.59,12841.77,9200.59,0.85,0.15,0.7164580895001235
2024-01-01,Medicare,Primary Care,FL,2,2,0,2545.6499999999996,1114.87,945.07,1.0,0.0,0.8476952469794686
2024-01-01,Medicare,Primary Care,GA,4,4,0,4360.95,2418.59,1980.86,1.0,0.0,0.8190143844140594
2024-01-01,Medicare,Primary Care,NC,2,0,1,3026.33,1870.91,862.02,0.0,0.5,0.46074904725507904
2024-01-01,Medicare,Primary Care,TX,4,3,0,5626.1,3057.5,2706.17,0.75,0.0,0.8850923957481602
2024-01-01,Medicare,Radiology,FL,5,4,1,5202.4800000000005,3758.51,2541.74,0.8,0.2,0.6762626679189359
2024-01-01,Medicare,Radiology,GA,11,8,2,12204.52,7227.7,5264.96,0.7272727272727273,0.18181818181818182,0.7284419663240035
2024-01-01,Medicare,Radiology,NC,2,1,1,2772.21,2242.17,1218.22,0.5,0.5,0.543321871222967
2024-01-01,Medicare,Radiology,TX,7,6,1,7417.650000000001,5340.99,3803.3199999999997,0.8571428571428571,0.14285714285714285,0.7121001911630616
2024-01-01,Medicare Advantage,Cardiology,AZ,1,0,0,3136.38,537.54,461.54,0.0,0.0,0.8586151728243481
2024-01-01,Medicare Advantage,Cardiology,FL,4,3,0,5117.700000000001,4446.8,3829.96,0.75,0.0,0.8612845192048214
2024-01-01,Medicare Advantage,Cardiology,GA,2,2,0,1594.7,1238.98,1035.3,1.0,0.0,0.8356067087442897
2024-01-01,Medicare Advantage,Cardiology,NC,14,7,3,18059.31,9469.11,6346.66,0.5,0.21428571428571427,0.6702488407041421
2024-01-01,Medicare Advantage,Cardiology,TX,6,5,1,7680.43,4877.62,3442.08,0.8333333333333334,0.16666666666666666,0.7056884300129982
2024-01-01,Medicare Advantage,Orthopedics,AZ,4,4,0,4519.719999999999,2611.98,2321.42,1.0,0.0,0.8887587194388932
2024-01-01,Medicare Advantage,Orthopedics,TX,8,6,1,8336.4,5166.91,3911.5,0.75,0.125,0.7570288625116366
2024-01-01,Medicare Advantage,Primary Care,AZ,10,8,0,11188.56,7232.209999999999,5995.530000000001,0.8,0.0,0.8290038591246661
2024-01-01,Medicare Advantage,Primary Care,FL,3,2,1,2063.05,2877.5299999999997,1451.6699999999998,0.6666666666666666,0.3333333333333333,0.5044847490729897
2024-01-01,Medicare Advantage,Primary Care,GA,2,2,0,1436.3899999999999,1403.54,1086.49,1.0,0.0,0.7741069011214501
2024-01-01,Medicare Advantage,Primary Care,NC,4,2,0,5949.83,2644.83,2256.38,0.5,0.0,0.8531285564667673
2024-01-01,Medicare Advantage,Primary Care,TX,5,5,0,5013.73,3237.7,2825.71,1.0,0.0,0.8727522624084999
2024-01-01,Medicare Advantage,Radiology,AZ,6,5,1,4944.81,4338.72,3172.61,0.8333333333333334,0.16666666666666666,0.7312317918648817
2024-01-01,Medicare Advantage,Radiology,FL,3,2,0,3353.02,2123.82,1781.68,0.6666666666666666,0.0,0.838903485229445
2024-01-01,Medicare Advantage,Radiology,GA,8,3,3,8657.85,5737.26,2851.0,0.375,0.375,0.49692710457605194
2024-01-01,Medicare Advantage,Radiology,NC,2,1,1,1259.06,1952.81,537.83,0.5,0.5,0.2754133786697119
2024-01-01,Medicare Advantage,Radiology,TX,3,1,2,3403.8199999999997,1317.62,622.55,0.3333333333333333,0.6666666666666666,0.4724806848712072
2024-02-01,Commercial,Cardiology,AZ,3,2,1,5637.4400000000005,1524.25,883.63,0.6666666666666666,0.3333333333333333,0.5797146137444645
2024-02-01,Commercial,Cardiology,FL,5,4,1,7718.610000000001,3778.1800000000003,2423.4900000000002,0.8,0.2,0.6414437639286641
2024-02-01,Commercial,Cardiology,GA,4,3,1,3692.77,3264.61,2108.33,0.75,0.25,0.6458137419171049
2024-02-01,Commercial,Cardiology,NC,17,14,3,23086.29,10103.19,6947.03,0.8235294117647058,0.17647058823529413,0.6876075774087194
2024-02-01,Commercial,Cardiology,TX,4,3,1,4473.09,2754.83,1623.77,0.75,0.25,0.5894265707865821
2024-02-01,Commercial,Orthopedics,AZ,4,3,1,3485.04,2774.5,1877.72,0.75,0.25,0.6767777978014057
2024-02-01,Commercial,Orthopedics,FL,1,1,0,728.4,512.6,459.01,1.0,0.0,0.8954545454545454
2024-02-01,Commercial,Orthopedics,GA,6,4,1,5156.700000000001,4062.03,2499.45,0.6666666666666666,0.16666666666666666,0.6153204186084297
2024-02-01,Commercial,Orthopedics,NC,1,1,0,808.06,831.53,700.57,1.0,0.0,0.8425071855495293
2024-02-01,Commercial,Orthopedics,TX,1,1,0,1118.84,709.16,549.88,1.0,0.0,0.7753962434429467
2024-02-01,Commercial,Primary Care,AZ,6,5,1,7794.41,3942.19,2780.96,0.8333333333333334,0.16666666666666666,0.7054353037271162
2024-02-01,Commercial,Primary Care,FL,1,1,0,525.71,347.49,319.85,1.0,0.0,0.920458142680365
2024-02-01,Commercial,Primary Care,NC,1,0,1,1058.32,576.23,0.0,0.0,1.0,0.0
2024-02-01,Commercial,Primary Care,TX,4,3,0,7568.16,2314.96,1851.85,0.75,0.0,0.7999490271970141
2024-02-01,Commercial,Radiology,AZ,2,1,1,3407.36,1042.21,501.27,0.5,0.5,0.48096832692067815
2024-02-01,Commercial,Radiology,FL,5,2,2,4861.32,3909.38,1732.25,0.4,0.4,0.44310095206912603
2024-02-01,Commercial,Radiology,GA,9,7,0,11109.36,6754.389999999999,5896.97,0.7777777777777778,0.0,0.873057374537153
2024-02-01,Commercial,Radiology,NC,4,3,0,6016.33,3643.4799999999996,3372.79,0.75,0.0,0.9257056440545853
2024-02-01,Commercial,Radiology,TX,9,5,3,14528.01,5822.91,2904.91,0.5555555555555556,0.3333333333333333,0.49887599155748585
2024-02-01,Medicaid,Cardiology,FL,4,3,0,4914.620000000001,2273.7,1893.4299999999998,0.75,0.0,0.8327527818093856
2024-02-01,Medicaid,Cardiology,GA,3,2,0,2942.23,2602.87,2038.76,0.6666666666666666,0.0,0.7832738477142539
2024-02-01,Medicaid,Cardiology,NC,13,10,0,14049.68,8061.23,6633.25,0.7692307692307693,0.0,0.822858298299391
2024-02-01,Medicaid,Cardiology,TX,5,3,1,6479.389999999999,3244.69,2004.16,0.6,0.2,0.6176737993460084
2024-02-01,Medicaid,Orthopedics,AZ,2,2,0,1452.1,972.2099999999999,817.0,1.0,0.0,0.8403534215858715
2024-02-01,Medicaid,Orthopedics,GA,3,3,0,6280.99,1247.15,1040.48,1.0,0.0,0.8342861724732389
2024-02-01,Medicaid,Orthopedics,NC,6,5,1,5137.96,4550.57,2959.86,0.8333333333333334,0.16666666666666666,0.6504371979773963
2024-02-01,Medicaid,Orthopedics,TX,5,3,0,4596.5,3343.04,2708.09,0.6,0.0,0.8100680817459558
2024-02-01,Medicaid,Primary Care,AZ,12,8,2,17308.04,8761.960000000001,5895.07,0.6666666666666666,0.16666666666666666,0.6728026605919223
2024-02-01,Medicaid,Primary Care,GA,1,1,0,1735.72,499.83,482.5,1.0,0.0,0.9653282115919413
2024-02-01,Medicaid,Primary Care,NC,2,2,0,2057.2200000000003,1300.35,1010.19,1.0,0.0,0.7768600761333488
2024-02-01,Medicaid,Primary Care,TX,1,1,0,975.92,446.18,404.9,1.0,0.0,0.9074812855798108
2024-02-01,Medicaid,Radiology,AZ,3,3,0,3563.05,2547.07,2230.0,1.0,0.0,0.8755157887297954
2024-02-01,Medicaid,Radiology,FL,4,2,2,3847.89,1867.08,711.88,0.5,0.5,0.38127985945969106
2024-02-01,Medicaid,Radiology,GA,8,7,0,13480.56,5322.16,4501.23,0.875,0.0,0.8457524764381379
2024-02-01,Medicaid,Radiology,NC,3,3,0,3400.87,1861.77,1584.6299999999999,1.0,0.0,0.8511416555213587
2024-02-01,Medicaid,Radiology,TX,7,5,2,9009.73,4764.32,3050.05,0.7142857142857143,0.2857142857142857,0.6401857977633745
2024-02-01,Medicare,Cardiology,AZ,2,1,0,2433.06,1425.6100000000001,1076.64,0.5,0.0,0.7552135577051228
2024-02-01,Medicare,Cardiology,FL,3,1,0,3288.74,1666.62,1356.6,0.3333333333333333,0.0,0.8139827915181626
2024-02-01,Medicare,Cardiology,GA,4,4,0,4428.95,2237.54,2011.28,1.0,0.0,0.8988800200219884
2024-02-01,Medicare,Cardiology,NC,6,3,3,11899.94,2980.75,1424.82,0.5,0.5,0.47800721294976095
2024-02-01,Medicare,Cardiology,TX,4,3,0,3856.73,1590.13,1450.5,0.75,0.0,0.9121895694062749
2024-02-01,Medicare,Orthopedics,AZ,4,3,0,4530.55,2567.5,2174.41,0.75,0.0,0.8468977604673806
2024-02-01,Medicare,Orthopedics,FL,2,1,1,1101.09,1334.03,348.87,0.5,0.5,0.2615158579642137
2024-02-01,Medicare,Orthopedics,GA,1,1,0,1048.99,752.29,686.47,1.0,0.0,0.9125071448510549
2024-02-01,Medicare,Orthopedics,NC,4,3,0,5871.26,2492.87,2005.3400000000001,0.75,0.0,0.8044302350303065
2024-02-01,Medicare,Orthopedics,TX,3,3,0,3863.98,1379.6799999999998,1224.73,1.0,0.0,0.8876913487185435
2024-02-01,Medicare,Primary Care,AZ,13,11,1,18299.96,9768.66,7565.4400000000005,0.8461538461538461,0.07692307692307693,0.774460366109579
2024-02-01,Medicare,Primary Care,FL,1,0,0,1110.18,907.65,692.35,0.0,0.0,0.7627940285352284
2024-02-01,Medicare,Primary Care,NC,4,4,0,5560.66,2847.7799999999997,2349.5699999999997,1.0,0.0,0.8250531993342182
2024-02-01,Medicare,Primary Care,TX,5,4,0,5238.4400000000005,3315.09,2845.35,0.8,0.0,0.8583024895251712
2024-02-01,Medicare,Radiology,AZ,2,1,0,1008.5,1406.87,1091.47,0.5,0.0,0.7758143964971889
2024-02-01,Medicare,Radiology,GA,11,9,1,11116.75,6371.0,5092.78,0.8181818181818182,0.09090909090909091,0.7993690158530843
2024-02-01,Medicare,Radiology,NC,3,2,0,2684.07,2074.86,1829.09,0.6666666666666666,0.0,0.8815486346066722
2024-02-01,Medicare,Radiology,TX,6,5,1,6570.14,3712.42,3063.4700000000003,0.8333333333333334,0.16666666666666666,0.8251948863544535
2024-02-01,Medicare Advantage,Cardiology,AZ,2,2,0,2409.35,827.3,691.14,1.0,0.0,0.8354164148434667
2024-02-01,Medicare Advantage,Cardiology,FL,3,2,1,5176.71,1927.08,1162.3500000000001,0.6666666666666666,0.3333333333333333,0.6031664487203439
2024-02-01,Medicare Advantage,Cardiology,GA,6,4,2,8538.41,3716.93,1760.41,0.6666666666666666,0.3333333333333333,0.4736193579109642
2024-02-01,Medicare Advantage,Cardiology,NC,17,10,5,17313.38,14185.73,8038.9,0.5882352941176471,0.29411764705882354,0.5666892010492234
2024-02-01,Medicare Advantage,Cardiology,TX,4,3,1,4304.89,2791.78,1862.23,0.75,0.25,0.6670403828381892
2024-02-01,Medicare Advantage,Orthopedics,AZ,7,4,2,10427.56,4526.15,2915.3,0.5714285714285714,0.2857142857142857,0.6441014990665357
2024-02-01,Medicare Advantage,Orthopedics,FL,3,2,0,4313.48,1606.44,1358.25,0.6666666666666666,0.0,0.8455031000224098
2024-02-01,Medicare Advantage,Orthopedics,GA,4,3,1,5138.04,1885.4499999999998,1246.85,0.75,0.25,0.6613010156726511
2024-02-01,Medicare Advantage,Orthopedics,NC,2,2,0,3861.1400000000003,1133.63,892.49,1.0,0.0,0.7872850930197682
2024-02-01,Medicare Advantage,Orthopedics,TX,5,4,1,6683.77,6680.13,4878.469999999999,0.8,0.2,0.7302956678986785
2024-02-01,Medicare Advantage,Primary Care,AZ,10,6,1,13122.69,6480.29,5079.5599999999995,0.6,0.1,0.7838476364483687
2024-02-01,Medicare Advantage,Primary Care,FL,3,3,0,3590.35,1039.97,920.69,1.0,0.0,0.8853043837803014
2024-02-01,Medicare Advantage,Primary Care,GA,1,1,0,937.99,655.67,564.54,1.0,0.0,0.8610123995302515
2024-02-01,Medicare Advantage,Primary Care,NC,1,0,1,1407.46,913.7,0.0,0.0,1.0,0.0
2024-02-01,Medicare Advantage,Primary Care,TX,4,4,0,6641.1,3301.96,2660.49,1.0,0.0,0.8057305358029776
2024-02-01,Medicare Advantage,Radiology,AZ,3,3,0,2230.91,1852.32,1615.21,1.0,0.0,0.8719929601796667
2024-02-01,Medicare Advantage,Radiology,FL,2,1,1,2034.9,1066.43,560.77,0.5,0.5,0.5258385454272666
2024-02-01,Medicare Advantage,Radiology,GA,12,8,3,19715.98,8842.26,5026.96,0.6666666666666666,0.25,0.5685152890776792
2024-02-01,Medicare Advantage,Radiology,NC,2,2,0,2683.9300000000003,2338.0,2127.91,1.0,0.0,0.9101411462788708
2024-02-01,Medicare Advantage,Radiology,TX,8,7,0,10409.22,5852.23,4832.23,0.875,0.0,0.8257074653593587
2024-03-01,Commercial,Cardiology,AZ,3,3,0,7361.78,2048.46,1685.62,1.0,0.0,0.8228718159007253
2024-03-01,Commercial,Cardiology,FL,2,2,0,1286.23,2173.6800000000003,1919.63,1.0,0.0,0.8831244709432851
2024-03-01,Commercial,Cardiology,GA,1,1,0,992.19,826.53,639.57,1.0,0.0,0.7738013139268993
2024-03-01,Commercial,Cardiology,NC,18,15,1,27164.079999999998,13617.55,10997.89,0.8333333333333334,0.05555555555555555,0.8076261882644088
2024-03-01,Commercial,Cardiology,TX,5,5,0,7134.59,3092.44,2660.93,1.0,0.0,0.8604629354166935
2024-03-01,Commercial,Orthopedics,AZ,5,2,2,5450.98,3028.1400000000003,1157.56,0.4,0.4,0.3822676626576049
2024-03-01,Commercial,Orthopedics,FL,4,4,0,5849.610000000001,2331.96,1941.23,1.0,0.0,0.8324456680217499
2024-03-01,Commercial,Orthopedics,GA,2,1,0,1589.62,1470.31,1264.4099999999999,0.5,0.0,0.8599615047166923
2024-03-01,Commercial,Orthopedics,NC,2,1,1,3060.64,1439.72,689.88,0.5,0.5,0.4791765065429389
2024-03-01,Commercial,Orthopedics,TX,2,2,0,2490.34,1647.54,1502.05,1.0,0.0,0.911692584095075
2024-03-01,Commercial,Primary Care,AZ,6,4,2,11558.81,3318.8799999999997,1219.95,0.6666666666666666,0.3333333333333333,0.3675788217712
2024-03-01,Commercial,Primary Care,FL,2,2,0,1773.9099999999999,972.23,839.8599999999999,1.0,0.0,0.8638490892072862
2024-03-01,Commercial,Primary Care,GA,2,1,1,3022.65,1235.87,251.71,0.5,0.5,0.20367028894624842
2024-03-01,Commercial,Primary Care,NC,5,5,0,3995.95,3021.5499999999997,2677.92,1.0,0.0,0.8862736012973474
2024-03-01,Commercial,Radiology,AZ,2,1,1,3234.12,946.4100000000001,463.41,0.5,0.5,0.4896503629505183
2024-03-01,Commercial,Radiology,FL,5,2,2,4807.2,2993.69,1453.8799999999999,0.4,0.4,0.4856481466016855
2024-03-01,Commercial,Radiology,GA,4,3,1,7015.8,2028.21,1283.99,0.75,0.25,0.6330656095769176
2024-03-01,Commercial,Radiology,NC,1,0,1,633.85,603.3,0.0,0.0,1.0,0.0
2024-03-01,Commercial,Radiology,TX,11,8,3,16247.25,5518.49,3377.94,0.7272727272727273,0.2727272727272727,0.6121130961549265
2024-03-01,Medicaid,Cardiology,AZ,2,2,0,2580.38,579.21,456.04999999999995,1.0,0.0,0.7873655496279414
2024-03-01,Medicaid,Cardiology,FL,4,3,1,4327.82,2596.39,1624.6100000000001,0.75,0.25,0.625718786468905
2024-03-01,Medicaid,Cardiology,GA,3,1,0,4918.25,1661.74,1267.59,0.3333333333333333,0.0,0.7628088629990251
2024-03-01,Medicaid,Cardiology,NC,14,12,0,13375.55,7333.820000000001,6377.68,0.8571428571428571,0.0,0.8696259248249889
2024-03-01,Medicaid,Cardiology,TX,2,1,0,3253.94,1370.63,1194.21,0.5,0.0,0.8712854672668773
2024-03-01,Medicaid,Orthopedics,AZ,3,3,0,3490.16,3169.55,2526.99,1.0,0.0,0.797270905964569
2024-03-01,Medicaid,Orthopedics,FL,3,3,0,3111.08,1606.07,1340.96,1.0,0.0,0.83493247492326
2024-03-01,Medicaid,Orthopedics,NC,4,2,1,5550.889999999999,2634.87,2052.98,0.5,0.25,0.7791579850239291
2024-03-01,Medicaid,Orthopedics,TX,8,7,0,11323.53,4136.7300000000005,3303.67,0.875,0.0,0.7986187157489127
2024-03-01,Medicaid,Primary Care,AZ,10,10,0,14707.210000000001,5686.3,4930.62,1.0,0.0,0.8671051474596837
2024-03-01,Medicaid,Primary Care,FL,3,3,0,3334.24,3511.9,2919.39,1.0,0.0,0.831285059369572
2024-03-01,Medicaid,Primary Care,NC,2,1,1,1274.87,1720.02,456.06,0.5,0.5,0.2651480796734922
2024-03-01,Medicaid,Primary Care,TX,1,1,0,1911.09,624.31,479.65,1.0,0.0,0.7682881901619388
2024-03-01,Medicaid,Radiology,AZ,3,1,0,4960.2699999999995,2042.98,1565.98,0.3333333333333333,0.0,0.7665175381060999
2024-03-01,Medicaid,Radiology,FL,8,6,0,7682.7699999999995,5084.74,4148.65,0.75,0.0,0.8159020913557035
2024-03-01,Medicaid,Radiology,GA,10,9,0,10891.17,6030.58,4939.4800000000005,0.9,0.0,0.8190721290489473
2024-03-01,Medicaid,Radiology,NC,4,4,0,4693.63,3499.81,2782.04,1.0,0.0,0.7949117237792909
2024-03-01,Medicaid,Radiology,TX,7,3,2,10079.039999999999,5415.86,2995.92,0.42857142857142855,0.2857142857142857,0.5531753036452198
2024-03-01,Medicare,Cardiology,FL,9,7,1,9319.880000000001,6293.82,5013.07,0.7777777777777778,0.1111111111111111,0.7965067320005974
2024-03-01,Medicare,Cardiology,GA,2,1,1,1492.3600000000001,1765.75,1054.35,0.5,0.5,0.5971117089055642
2024-03-01,Medicare,Cardiology,NC,13,11,2,16027.57,6588.75,4287.5599999999995,0.8461538461538461,0.15384615384615385,0.6507395181180041
2024-03-01,Medicare,Cardiology,TX,1,1,0,1526.92,382.08,337.14,1.0,0.0,0.8823806532663316
2024-03-01,Medicare,Orthopedics,AZ,6,5,0,6009.59,3638.88,3061.37,0.8333333333333334,0.0,0.8412945741546849
2024-03-01,Medicare,Orthopedics,FL,3,3,0,3271.08,2456.75,2100.44,1.0,0.0,0.8549669278518368
2024-03-01,Medicare,Orthopedics,GA,3,3,0,2591.79,2676.65,2338.31,1.0,0.0,0.8735957260007845
2024-03-01,Medicare,Orthopedics,NC,1,1,0,1255.29,399.35,353.55,1.0,0.0,0.8853136346563165
2024-03-01,Medicare,Orthopedics,TX,4,4,0,5906.0,3040.79,2440.79,1.0,0.0,0.8026828554421713
2024-03-01,Medicare,Primary Care,AZ,17,13,2,23364.62,11376.93,7969.92,0.7647058823529411,0.11764705882352941,0.7005334479512487
2024-03-01,Medicare,Primary Care,FL,4,3,1,3791.19,3203.45,2268.11,0.75,0.25,0.7080210398164479
2024-03-01,Medicare,Primary Care,GA,1,1,0,803.4,1292.42,986.57,1.0,0.0,0.7633509230745423
2024-03-01,Medicare,Primary Care,NC,2,2,0,2031.8899999999999,1848.21,1600.27,1.0,0.0,0.8658485778131273
2024-03-01,Medicare,Primary Care,TX,3,1,1,3558.13,3426.6400000000003,2363.19,0.3333333333333333,0.3333333333333333,0.6896522541031447
2024-03-01,Medicare,Radiology,AZ,4,0,2,4704.17,2321.94,1165.07,0.0,0.5,0.5017657648345779
2024-03-01,Medicare,Radiology,FL,3,3,0,3470.08,2150.37,1946.35,1.0,0.0,0.905123304361575
2024-03-01,Medicare,Radiology,GA,6,4,2,6772.8099999999995,3260.3199999999997,1930.54,0.6666666666666666,0.3333333333333333,0.5921320606566227
2024-03-01,Medicare,Radiology,NC,2,1,1,2821.18,924.6400000000001,513.09,0.5,0.5,0.5549078560304551
2024-03-01,Medicare,Radiology,TX,7,5,1,8118.44,4600.0599999999995,3454.5099999999998,0.7142857142857143,0.14285714285714285,0.7509706395133977
2024-03-01,Medicare Advantage,Cardiology,FL,4,2,0,4274.9400000000005,2857.02,2452.73,0.5,0.0,0.8584924151738524
2024-03-01,Medicare Advantage,Cardiology,GA,2,1,0,3349.77,1852.2800000000002,1684.97,0.5,0.0,0.9096734834906169
2024-03-01,Medicare Advantage,Cardiology,NC,9,7,1,9877.66,6275.66,4890.84,0.7777777777777778,0.1111111111111111,0.7793347631962216
2024-03-01,Medicare Advantage,Cardiology,TX,7,5,0,7266.15,4786.55,3904.96,0.7142857142857143,0.0,0.8158193270727351
2024-03-01,Medicare Advantage,Orthopedics,AZ,3,2,1,4383.6900000000005,1974.5100000000002,1195.44,0.6666666666666666,0.3333333333333333,0.6054362854581643
2024-03-01,Medicare Advantage,Orthopedics,FL,1,1,0,872.62,459.01,376.23,1.0,0.0,0.819655345199451
2024-03-01,Medicare Advantage,Orthopedics,GA,4,2,2,3130.56,3864.28,1664.3000000000002,0.5,0.5,0.4306882524040701
2024-03-01,Medicare Advantage,Orthopedics,NC,2,2,0,2148.75,1660.27,1425.5,1.0,0.0,0.8585952887181001
2024-03-01,Medicare Advantage,Orthopedics,TX,5,5,0,5590.08,3518.46,2920.41,1.0,0.0,0.8300250677853378
2024-03-01,Medicare Advantage,Primary Care,AZ,9,4,1,10231.15,4954.0,3497.04,0.4444444444444444,0.1111111111111111,0.7059023011707711
2024-03-01,Medicare Advantage,Primary Care,FL,1,1,0,866.46,408.45,359.24,1.0,0.0,0.8795201371036847
2024-03-01,Medicare Advantage,Primary Care,GA,2,2,0,2285.77,1060.8,956.6500000000001,1.0,0.0,0.9018193815987935
2024-03-01,Medicare Advantage,Primary Care,NC,1,1,0,1460.31,360.15,289.73,1.0,0.0,0.8044703595724005
2024-03-01,Medicare Advantage,Primary Care,TX,3,2,1,3424.17,2600.91,1636.5500000000002,0.6666666666666666,0.3333333333333333,0.6292220799643203
